Name,|V|,|E|,Simple Randomized,Simple Greedy,Semi-greedy,Simple local No. of iterations,Simple local Average value,GRASP No. of iterations,GRASP Best value,Known best solution or upper bound
G1,800,19176,9586.39,10996.00,11109.00,10,9782.50,10,11254.00,12078
G2,800,19176,9586.65,11046.00,11152.00,10,9785.00,10,11240.00,12084
G3,800,19176,9579.16,11084.00,11165.00,10,9765.50,10,11298.00,12077
G4,800,19176,9579.47,11097.00,11167.00,10,9725.00,10,11285.00,
G5,800,19176,9588.09,11042.00,11217.00,10,9799.00,10,11272.00,
G6,800,19176,85.64,1425.00,1648.00,10,158.00,10,1746.00,
G7,800,19176,-80.15,1372.00,1472.00,10,117.00,10,1575.00,
G8,800,19176,-70.90,1370.00,1445.00,10,96.50,10,1573.00,
G9,800,19176,-17.26,1414.00,1520.00,10,190.00,10,1586.00,
G10,800,19176,-83.89,1385.00,1438.00,10,65.00,10,1569.00,
G11,800,1600,13.20,434.00,420.00,10,46.00,10,460.00,627
G12,800,1600,-1.94,418.00,420.00,10,42.00,10,450.00,621
G13,800,1600,18.60,432.00,420.00,10,54.00,10,470.00,645
G14,800,4694,2343.84,2906.00,2943.00,10,2445.50,10,2965.00,3187
G15,800,4661,2330.79,2862.00,2898.00,10,2470.00,10,2953.00,3169
G16,800,4672,2335.91,2878.00,2939.00,10,2457.00,10,2952.00,3172
G17,800,4667,2331.36,2871.00,2911.00,10,2435.50,10,2962.00,
G18,800,4694,28.19,790.00,762.00,10,168.00,10,816.00,
G19,800,4661,-55.96,700.00,643.00,10,20.50,10,714.00,
G20,800,4672,-24.72,724.00,724.00,10,45.00,10,743.00,
G21,800,4667,-36.87,675.00,627.00,10,30.00,10,745.00,
G22,2000,19990,9999.68,12335.00,12719.00,2,9983.50,2,12702.00,14123
G23,2000,19990,10005.66,12279.00,12726.00,2,9993.50,2,12704.00,14129
G24,2000,19990,10000.74,12375.00,12688.00,2,9954.00,2,12706.00,14131
G25,2000,19990,9998.61,12419.00,12677.00,2,10040.50,2,12706.00,
G26,2000,19990,9992.26,12306.00,12658.00,2,10028.00,2,12714.00,
G27,2000,19990,-17.00,2286.00,2394.00,2,71.00,2,2478.00,
G28,2000,19990,-48.13,2321.00,2415.00,2,-53.50,2,2419.00,
G29,2000,19990,26.31,2370.00,2546.00,2,87.00,2,2532.00,
G30,2000,19990,55.72,2402.00,2442.00,2,65.50,2,2602.00,
G31,2000,19990,-25.89,2303.00,2403.00,2,-75.00,2,2491.00,
G32,2000,4000,10.00,1058.00,1044.00,2,10.00,2,1064.00,1560
G33,2000,4000,-15.26,998.00,1004.00,2,-10.00,2,1008.00,1537
G34,2000,4000,-25.54,988.00,970.00,2,17.00,2,1054.00,1541
G35,2000,11778,5878.75,7222.00,7388.00,2,5941.50,2,7415.00,8000
G36,2000,11766,5883.09,7226.00,7354.00,2,5881.50,2,7367.00,7996
G37,2000,11785,5887.41,7255.00,7367.00,2,5932.50,2,7380.00,8009
G38,2000,11779,5893.01,7261.00,7336.00,2,5892.50,2,7380.00,
G39,2000,11778,1.44,1874.00,1775.00,2,5.00,2,1713.00,
G40,2000,11766,-44.31,1802.00,1748.00,2,-10.00,2,1677.00,
G41,2000,11785,-6.49,1876.00,1647.00,2,14.00,2,1765.00,
G42,2000,11779,59.12,1876.00,1781.00,2,83.00,2,1770.00,
G43,1000,9990,4994.86,6188.00,6315.00,10,5097.50,10,6408.00,7027
G44,1000,9990,4997.91,6184.00,6297.00,10,5051.50,10,6415.00,7022
G45,1000,9990,4992.74,6195.00,6339.00,10,5105.00,10,6383.00,7020
G46,1000,9990,4994.02,6212.00,6294.00,10,5173.50,10,6395.00,
G47,1000,9990,4995.55,6214.00,6308.00,10,5126.00,10,6424.00,
G48,3000,6000,2996.22,6000.00,6000.00,2,3030.00,2,6000.00,6000
G49,3000,6000,3002.72,6000.00,6000.00,2,2981.00,2,6000.00,6000
G50,3000,6000,2999.12,5880.00,5856.00,2,2987.00,2,5860.00,5988
G51,1000,5909,2957.49,3633.00,3698.00,10,3057.50,10,3730.00,
G52,1000,5916,2953.88,3672.00,3707.00,10,3026.50,10,3718.00,
G53,1000,5914,2957.48,3627.00,3703.00,10,3062.00,10,3714.00,
G54,1000,5916,2956.18,3619.00,3696.00,10,3033.50,10,3710.00,
