Name,|V|,|E|,Simple Randomized,Simple Greedy,Semi-greedy,Simple local No. of iterations,Simple local Average value,GRASP No. of iterations,GRASP Best value,Known best solution or upper bound
G1,800,19176,9593.60,11260.00,11180.00,2,9496.00,3,11258.00,12078
G2,800,19176,9614.30,11284.00,11223.00,2,9611.00,3,11214.00,12084
G3,800,19176,9584.80,11337.00,11198.00,2,9708.00,3,11188.00,12077
G4,800,19176,9602.20,11299.00,11125.00,2,9647.00,3,11179.00,
G5,800,19176,9604.00,11291.00,11113.00,2,9620.00,3,11210.00,
G6,800,19176,65.70,1585.00,1592.00,2,111.00,3,1705.00,
G7,800,19176,-73.20,1420.00,1404.00,2,13.00,3,1554.00,
G8,800,19176,-74.60,1504.00,1435.00,2,114.00,3,1490.00,
G9,800,19176,-55.10,1450.00,1497.00,2,-17.00,3,1485.00,
G10,800,19176,-95.90,1433.00,1410.00,2,-15.00,3,1468.00,
G11,800,1600,17.80,392.00,428.00,2,4.00,3,428.00,627
G12,800,1600,-7.40,368.00,400.00,2,-10.00,3,426.00,621
G13,800,1600,15.20,394.00,440.00,2,6.00,3,448.00,645
G14,800,4694,2332.00,2921.00,2929.00,2,2325.00,3,2959.00,3187
G15,800,4661,2343.30,2890.00,2917.00,2,2322.00,3,2952.00,3169
G16,800,4672,2340.40,2922.00,2923.00,2,2284.00,3,2934.00,3172
G17,800,4667,2325.20,2893.00,2913.00,2,2364.00,3,2929.00,
G18,800,4694,49.60,711.00,753.00,2,107.00,3,756.00,
G19,800,4661,-67.20,630.00,606.00,2,-28.00,3,658.00,
G20,800,4672,-12.50,636.00,668.00,2,8.00,3,721.00,
G21,800,4667,-37.40,623.00,652.00,2,22.00,3,719.00,
G22,2000,19990,9979.50,12789.00,12656.00,1,10054.00,1,12675.00,14123
G23,2000,19990,10053.40,12773.00,12681.00,1,10016.00,1,12695.00,14129
G24,2000,19990,9998.30,12876.00,12734.00,1,9928.00,1,12638.00,14131
G25,2000,19990,10022.00,12776.00,12711.00,1,9877.00,1,12658.00,
G26,2000,19990,9956.10,12820.00,12639.00,1,9967.00,1,12532.00,
G27,2000,19990,-7.90,2395.00,2393.00,1,-33.00,1,2450.00,
G28,2000,19990,-50.20,2326.00,2463.00,1,-130.00,1,2394.00,
G29,2000,19990,42.70,2475.00,2436.00,1,45.00,1,2499.00,
G30,2000,19990,25.80,2358.00,2457.00,1,4.00,1,2503.00,
G31,2000,19990,-34.50,2387.00,2347.00,1,53.00,1,2375.00,
G32,2000,4000,7.20,962.00,1066.00,1,42.00,1,1040.00,1560
G33,2000,4000,-10.40,938.00,1008.00,1,54.00,1,1020.00,1537
G34,2000,4000,-9.80,950.00,1034.00,1,-42.00,1,1016.00,1541
G35,2000,11778,5866.40,7327.00,7380.00,1,5920.00,1,7350.00,8000
G36,2000,11766,5897.00,7333.00,7375.00,1,5853.00,1,7365.00,7996
G37,2000,11785,5917.50,7294.00,7369.00,1,5885.00,1,7374.00,8009
G38,2000,11779,5898.20,7292.00,7402.00,1,5928.00,1,7384.00,
G39,2000,11778,44.10,1678.00,1742.00,1,-1.00,1,1749.00,
G40,2000,11766,-19.90,1744.00,1604.00,1,-42.00,1,1749.00,
G41,2000,11785,-66.50,1731.00,1788.00,1,-7.00,1,1743.00,
G42,2000,11779,26.90,1755.00,1673.00,1,29.00,1,1768.00,
G43,1000,9990,5002.60,6385.00,6323.00,2,4991.00,3,6319.00,7027
G44,1000,9990,5001.50,6389.00,6326.00,2,4976.00,3,6349.00,7022
G45,1000,9990,5018.40,6401.00,6285.00,2,5067.00,3,6338.00,7020
G46,1000,9990,5008.30,6374.00,6323.00,2,5031.00,3,6347.00,
G47,1000,9990,4986.60,6391.00,6338.00,2,5069.00,3,6335.00,
G48,3000,6000,3013.60,6000.00,6000.00,1,2996.00,1,6000.00,6000
G49,3000,6000,3007.20,6000.00,6000.00,1,2968.00,1,6000.00,6000
